step,correct,trueMastery,bktMastery,naiveMastery
0,0,0.1909,0.1467,0.0000
1,0,0.1960,0.1385,0.0000
2,0,0.1862,0.1373,0.0000
3,0,0.1870,0.1372,0.0000
4,1,0.1802,0.4870,0.2000
5,0,0.1840,0.2133,0.1667
6,1,0.1949,0.6037,0.2857
7,0,0.1941,0.2608,0.2500
8,1,0.1866,0.6599,0.3333
9,0,0.1981,0.2918,0.3000
10,0,0.2054,0.1631,0.2727
11,0,0.1997,0.1409,0.2500
12,1,0.1906,0.4937,0.3077
13,0,0.1906,0.2156,0.2857
14,1,0.1962,0.6066,0.3333
15,0,0.1995,0.2622,0.3125
16,1,0.1846,0.6615,0.3529
17,1,0.8259,0.9101,0.3889
18,1,0.8360,0.9811,0.4211
19,1,0.8225,0.9962,0.4500
20,1,0.8253,0.9993,0.4762
21,1,0.8112,0.9999,0.5000
22,0,0.8042,0.9990,0.4783
23,0,0.7911,0.9929,0.4583
24,1,0.7817,0.9986,0.4800
25,1,0.7902,0.9997,0.5000
26,1,0.7911,0.9999,0.5185
27,0,0.7769,0.9996,0.5000
28,1,0.7671,0.9999,0.5172
29,1,0.7774,1.0000,0.5333
30,1,0.7770,1.0000,0.5484
31,1,0.7863,1.0000,0.5625
32,1,0.7809,1.0000,0.5758
33,1,0.7793,1.0000,0.5882
34,1,0.7655,1.0000,0.6000
35,1,0.7520,1.0000,0.6111
36,1,0.7537,1.0000,0.6216
37,1,0.7566,1.0000,0.6316
38,0,0.7490,1.0000,0.6154
39,1,0.7533,1.0000,0.6250
